xflr5 v6.49

Plane name :        Negative
Polar name :        T1-30.0 ft/s-VLM1
Freestream speed :  30.000 ft/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.060978   0.002933   0.020177   0.023110  -0.000000   0.000000   0.496711   0.000000   0.000000    9.1440    -0.7688
    1.000     0.000   0.158725   0.002965   0.021292   0.024258  -0.000000   0.000000   0.453087   0.000000   0.000000    9.1440    -0.2368
    2.000     0.000   0.256402   0.003591   0.022171   0.025763  -0.000000   0.000000   0.408380   0.000000   0.000000    9.1440    -0.1103
    3.000     0.000   0.353948   0.004809   0.022649   0.027458  -0.000000   0.000000   0.362641   0.000000   0.000000    9.1440    -0.0536
    4.000     0.000   0.451302   0.006614   0.022614   0.029228  -0.000000   0.000000   0.315812   0.000000   0.000000    9.1440    -0.0213
    5.000     0.000   0.548404   0.009001   0.023140   0.032142  -0.000000   0.000000   0.268147   0.000000   0.000000    9.1440    -0.0006
    6.000     0.000   0.645194   0.011963   0.024804   0.036767  -0.000000   0.000000   0.219899   0.000000   0.000000    9.1440     0.0140
    7.000     0.000   0.741612   0.015490   0.027864   0.043354  -0.000000   0.000000   0.171225   0.000000   0.000000    9.1440     0.0247
    8.000     0.000   0.837600   0.019571   0.034445   0.054016  -0.000000   0.000000   0.122257   0.000000   0.000000    9.1440     0.0330


