xflr5 v6.49

Plane name :        Neutral
Polar name :        T1-30.0 ft/s-VLM1
Freestream speed :  30.000 ft/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.140071   0.000597   0.018828   0.019425  -0.000000   0.000000   0.032141   0.000000   0.000000    9.1440     0.0315
    1.000     0.000   0.237680   0.001604   0.020040   0.021643  -0.000000   0.000000  -0.010092   0.000000   0.000000    9.1440     0.0573
    2.000     0.000   0.335161   0.003201   0.021029   0.024230  -0.000000   0.000000  -0.053151   0.000000   0.000000    9.1440     0.0680
    3.000     0.000   0.432454   0.005384   0.021609   0.026993  -0.000000   0.000000  -0.096997   0.000000   0.000000    9.1440     0.0739
    4.000     0.000   0.529497   0.008148   0.021722   0.029870  -0.000000   0.000000  -0.141695   0.000000   0.000000    9.1440     0.0777
    5.000     0.000   0.626232   0.011484   0.022477   0.033961  -0.000000   0.000000  -0.187017   0.000000   0.000000    9.1440     0.0803
    6.000     0.000   0.722598   0.015383   0.024371   0.039753  -0.000000   0.000000  -0.232677   0.000000   0.000000    9.1440     0.0823
    7.000     0.000   0.818537   0.019833   0.027632   0.047465  -0.000000   0.000000  -0.278495   0.000000   0.000000    9.1440     0.0838
    8.000     0.000   0.913992   0.024822   0.034941   0.059764  -0.000000   0.000000  -0.324385   0.000000   0.000000    9.1440     0.0850


