xflr5 v6.49

Plane name :        Neutral
Polar name :        T7-VLM2

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.658     0.000   0.204097   0.001176   0.018696   0.019872  -0.000000   0.000000   0.004374   0.000000   0.000000   10.3698     0.0511
    0.658     0.000   0.204097   0.001176   0.018696   0.019872  -0.000000   0.000000   0.004374   0.000000   0.000000   10.3698     0.0511
    0.658     0.000   0.204097   0.001176   0.018696   0.019872  -0.000000   0.000000   0.004374   0.000000   0.000000   10.3698     0.0511
    0.658     0.000   0.204097   0.001176   0.018696   0.019872  -0.000000   0.000000   0.004374   0.000000   0.000000   10.3698     0.0511
    0.658     0.000   0.204097   0.001176   0.018696   0.019872  -0.000000   0.000000   0.004374   0.000000   0.000000   10.3698     0.0511
    0.658     0.000   0.204097   0.001176   0.018696   0.019872  -0.000000   0.000000   0.004374   0.000000   0.000000   10.3698     0.0511
    0.658     0.000   0.204097   0.001176   0.018696   0.019872  -0.000000   0.000000   0.004374   0.000000   0.000000   10.3698     0.0511
    0.658     0.000   0.204097   0.001176   0.018696   0.019872  -0.000000   0.000000   0.004374   0.000000   0.000000   10.3698     0.0511
    0.658     0.000   0.204097   0.001176   0.018696   0.019872  -0.000000   0.000000   0.004374   0.000000   0.000000   10.3698     0.0511
    0.658     0.000   0.204097   0.001176   0.018696   0.019872  -0.000000   0.000000   0.004374   0.000000   0.000000   10.3698     0.0511
    0.658     0.000   0.204097   0.001176   0.018696   0.019872  -0.000000   0.000000   0.004374   0.000000   0.000000   10.3698     0.0511


