xflr5 v6.49

Plane name :        Positive
Polar name :        T1-30.0 ft/s-VLM1
Freestream speed :  30.000 ft/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.219031   0.003168   0.020149   0.023317  -0.000000   0.000000  -0.432189   0.000000   0.000000    9.1440     0.2540
    1.000     0.000   0.316726   0.005149   0.021454   0.026603  -0.000000   0.000000  -0.475123   0.000000   0.000000    9.1440     0.2050
    2.000     0.000   0.414235   0.007721   0.022541   0.030261  -0.000000   0.000000  -0.518616   0.000000   0.000000    9.1440     0.1791
    3.000     0.000   0.511497   0.010875   0.023195   0.034070  -0.000000   0.000000  -0.562634   0.000000   0.000000    9.1440     0.1631
    4.000     0.000   0.608451   0.014606   0.023487   0.038092  -0.000000   0.000000  -0.607289   0.000000   0.000000    9.1440     0.1523
    5.000     0.000   0.705039   0.018901   0.024448   0.043349  -0.000000   0.000000  -0.652313   0.000000   0.000000    9.1440     0.1445
    6.000     0.000   0.801202   0.023751   0.026586   0.050338  -0.000000   0.000000  -0.697441   0.000000   0.000000    9.1440     0.1386
    7.000     0.000   0.896880   0.029142   0.030142   0.059284  -0.000000   0.000000  -0.742521   0.000000   0.000000    9.1440     0.1339
    8.000     0.000   0.992018   0.035059   0.037853   0.072911  -0.000000   0.000000  -0.787379   0.000000   0.000000    9.1440     0.1303


