xflr5 v6.49

Plane name :        negative yaw
Polar name :        T5-a4.0°-30.0ft/s-VLM2

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    4.000    -5.000   0.526051   0.008234   0.022310   0.030544   0.000000   0.014828  -0.134023   0.003493   0.003438    9.1440     0.0779
    4.000    -4.000   0.523158   0.008435   0.022255   0.030690   0.000000   0.012176  -0.115642   0.007051   0.007004    9.1440     0.0745
    4.000    -3.000   0.521318   0.008394   0.022236   0.030629   0.000000   0.009505  -0.103577   0.009916   0.009877    9.1440     0.0722
    4.000    -2.000   0.519595   0.008188   0.022236   0.030424   0.000000   0.006850  -0.092556   0.012630   0.012602    9.1440     0.0702
    4.000    -1.000   0.517698   0.007846   0.022265   0.030111   0.000000   0.004227  -0.080965   0.015341   0.015327    9.1440     0.0679
    4.000     0.000   0.515767   0.007233   0.022325   0.029557   0.000000   0.001611  -0.069682   0.017852   0.017854    9.1440     0.0658
    4.000     1.000   0.513622   0.006210   0.022395   0.028605   0.000000  -0.000971  -0.057779   0.020383   0.020401    9.1440     0.0634
    4.000     2.000   0.511230   0.004819   0.022518   0.027337   0.000000  -0.003517  -0.045257   0.022964   0.022996    9.1440     0.0610
    4.000     3.000   0.508579   0.003122   0.022709   0.025831   0.000000  -0.006035  -0.032397   0.025509   0.025552    9.1440     0.0584


