xflr5 v6.49

Plane name :        neutral yaw
Polar name :        T5-a4.0°-30.0ft/s-VLM2

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    4.000    -5.000   0.526539   0.009500   0.022199   0.031699   0.000000   0.013133  -0.136242  -0.015078  -0.015137    9.1440     0.0782
    4.000    -4.000   0.527862   0.009082   0.022049   0.031132   0.000000   0.010599  -0.142173  -0.011597  -0.011648    9.1440     0.0794
    4.000    -3.000   0.528964   0.008718   0.021901   0.030620   0.000000   0.007983  -0.147168  -0.008574  -0.008616    9.1440     0.0804
    4.000    -2.000   0.529770   0.008348   0.021804   0.030152   0.000000   0.005331  -0.150839  -0.005697  -0.005728    9.1440     0.0811
    4.000    -1.000   0.530255   0.008181   0.021742   0.029923   0.000000   0.002674  -0.153041  -0.002794  -0.002810    9.1440     0.0815
    4.000     0.000   0.530419   0.008147   0.021729   0.029875   0.000000  -0.000000  -0.153786  -0.000000  -0.000000    9.1440     0.0816
    4.000     1.000   0.530255   0.008181   0.021742   0.029923   0.000000  -0.002674  -0.153041   0.002794   0.002810    9.1440     0.0815
    4.000     2.000   0.529770   0.008348   0.021804   0.030152   0.000000  -0.005331  -0.150839   0.005697   0.005728    9.1440     0.0811
    4.000     3.000   0.528964   0.008718   0.021902   0.030620   0.000000  -0.007983  -0.147168   0.008574   0.008616    9.1440     0.0804
    4.000     4.000   0.527862   0.009082   0.022050   0.031132   0.000000  -0.010599  -0.142173   0.011597   0.011648    9.1440     0.0794
    4.000     5.000   0.526539   0.009500   0.022200   0.031700   0.000000  -0.013133  -0.136242   0.015078   0.015137    9.1440     0.0782


