xflr5 v6.49

Plane name :        positive yaw
Polar name :        T5-a4.0°-30.0ft/s-VLM2

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    4.000    -3.000   0.508579   0.003122   0.022702   0.025824   0.000000   0.006035  -0.032398  -0.025509  -0.025552    9.1440     0.0584
    4.000    -2.000   0.511230   0.004819   0.022513   0.027331   0.000000   0.003517  -0.045258  -0.022964  -0.022996    9.1440     0.0610
    4.000    -1.000   0.513622   0.006210   0.022390   0.028600   0.000000   0.000971  -0.057779  -0.020383  -0.020401    9.1440     0.0634
    4.000     0.000   0.515767   0.007233   0.022320   0.029553   0.000000  -0.001611  -0.069683  -0.017852  -0.017854    9.1440     0.0658
    4.000     1.000   0.517698   0.007846   0.022261   0.030107   0.000000  -0.004227  -0.080965  -0.015341  -0.015327    9.1440     0.0679
    4.000     2.000   0.519595   0.008188   0.022232   0.030420   0.000000  -0.006850  -0.092557  -0.012630  -0.012602    9.1440     0.0702
    4.000     3.000   0.521318   0.008394   0.022233   0.030626   0.000000  -0.009505  -0.103578  -0.009916  -0.009877    9.1440     0.0722
    4.000     4.000   0.523158   0.008435   0.022252   0.030687   0.000000  -0.012176  -0.115643  -0.007051  -0.007004    9.1440     0.0745
    4.000     5.000   0.526051   0.008234   0.022308   0.030541   0.000000  -0.014828  -0.134024  -0.003493  -0.003438    9.1440     0.0779


